ChargingStation,Unit,Value,MinLevelValue,MaxLevelValue
ABF-00001,min,0,0,NA
ABF-00002,min,0,0,NA
ABF-00003,min,0,0,NA
ABF-00004,min,0,0,NA
ABF-00005,min,0,0,NA
ABF-00006,min,0,0,NA
ABF-00008,charge,0.1,0,NA
ABF-00008,min,0.03,0,NA
ABF-00009,charge,0.1,0,NA
ABF-00009,min,0.03,0,NA
ABF-00010,min,0,0,NA
ABF-00011,min,0.03,0,NA
ABF-00012,min,0.035,0,NA
ABF-00013,min,0.035,0,NA
ABF-00014,min,0.015,0,NA
ABF-00015,min,0.015,0,NA
ABF-00016,min,0.08,0,NA
ABT-00002,charge,0.5,0,NA
ABT-00002,min,0.15,0,NA
ABT-00003,charge,0.5,0,NA
ABT-00003,min,0.15,0,NA
ABT-90001,kWh,0.1,0,NA
ACB-00002,min,0.04,0,NA
ACB-90001,min,0.02,0,NA
ACH-00002,min,0.105,0,NA
ACH-00003,min,0.105,0,NA
ACH-00004,min,0,0,NA
ACH-00005,min,0,0,NA
ACH-00007,min,0.08,0,NA
ACN-00002,min,0.03,0,NA
ACN-00003,min,0.03,0,NA
ACN-90001,min,0.025,0,NA
ACT-00001,min,0,0,NA
ADENE-00004,min,0,0,NA
ADENE-00005,min,0,0,NA
ADENE-00006,min,0,0,NA
ADV-90001,min,0.025,0,NA
AGB-90001,kWh,0.1,0,NA
AGD-00001,min,0,0,NA
AGH-00001,min,0.074,0,NA
AGN-00002,min,0.08,0,NA
AJT-00001,min,0.105,0,NA
AJT-00002,min,0.105,0,NA
AJT-00003,min,0,0,NA
AJT-90004,min,0.025,0,NA
AJZ-00001,min,0,0,NA
ALB-00001,min,0,0,NA
ALB-00003,kWh,0.1,0,NA
ALB-90002,min,0.029,0,NA
ALD-00002,min,0.102,0,30
ALD-00002,min,0.163,30,NA
ALJ-90001,kWh,0.1,0,NA
ALM-00004,min,0,0,NA
ALM-00005,min,0,0,NA
ALM-00006,min,0,0,NA
ALM-00007,min,0,0,NA
ALM-00008,min,0,0,NA
ALM-00011,min,0.1,0,NA
ALM-00013,min,0.035,0,NA
ALM-00014,min,0,0,NA
ALM-00022,min,0,0,NA
ALM-00023,min,0,0,NA
ALM-00036,charge,0.1,0,NA
ALM-00036,min,0.025,0,NA
ALM-00037,charge,0.1,0,NA
ALM-00037,min,0.025,0,NA
ALM-00038,charge,0,0,NA
ALM-00038,min,0.05,0,NA
ALM-00040,min,0.105,0,NA
ALM-90001,min,0.006,0,NA
ALM-90003,min,0.009,0,NA
ALM-90009,min,0.0046,0,NA
ALM-90010,min,0.011,0,NA
ALM-90012,min,0.0046,0,NA
ALM-90015,min,0.006,0,NA
ALM-90019,min,0.005,0,NA
ALM-90020,min,0.0037,0,NA
ALM-90021,min,0.009,0,NA
ALM-90024,min,0.009,0,NA
ALM-90025,min,0.006,0,NA
ALM-90026,min,0.0046,0,NA
ALM-90027,min,0.011,0,NA
ALM-90028,min,0.0046,0,NA
ALQ-00002,min,0.035,0,NA
ALQ-90001,kWh,0.1,0,NA
ALR-90001,kWh,0.1,0,NA
ALT-00002,min,0,0,NA
ALT-00003,min,0,0,NA
ALT-90001,kWh,0.1,0,NA
AMD-00001,min,0,0,NA
AMD-00002,min,0,0,NA
AMD-00003,min,0.01,0,NA
AMD-00014,min,0.01,0,NA
AMD-00020,min,0.02,0,NA
AMD-00022,min,0.102,0,30
AMD-00022,min,0.163,30,NA
AMD-00024,min,0.01,0,NA
AMD-00025,min,0.105,0,NA
AMD-00026,min,0.08,0,NA
AMD-00027,min,0.02,0,NA
AMD-00028,min,0.03,0,NA
AMD-00029,min,0.03,0,NA
AMD-00030,min,0.02,0,NA
AMD-00031,min,0.02,0,NA
AMD-00032,min,0.105,0,NA
AMD-00033,min,0.02,0,NA
AMD-00034,min,0.02,0,NA
AMD-00040,min,0.02,0,NA
AMM-00001,min,0,0,NA
AMM-00002,charge,0.1,0,NA
AMM-00002,min,0.015,0,NA
AMM-00003,charge,0.1,0,NA
AMM-00003,min,0.015,0,NA
AMR-00002,charge,0.1,0,NA
AMR-00002,min,0.03,0,NA
AMR-00003,charge,0.1,0,NA
AMR-00003,min,0.03,0,NA
AMT-00001,min,0,0,NA
AMT-00003,min,0,0,NA
AMT-00004,min,0,0,NA
AMT-00005,min,0,0,NA
AMT-00006,min,0.08,0,NA
ANA-00001,min,0,0,NA
AND-00001,min,0,0,NA
AND-00003,min,0.035,0,NA
AND-90002,min,0.031,0,NA
APC-90001,min,0.025,0,NA
APT-00001,min,0.08,0,NA
ARC-00001,min,0,0,NA
ARL-00002,charge,0.1,0,NA
ARL-00002,min,0.03,0,NA
ARL-00003,charge,0.1,0,NA
ARL-00003,min,0.03,0,NA
ARR-90001,kWh,0.1,0,NA
ARV-00002,min,0,0,NA
ARV-90003,min,0.025,0,NA
ASL-00001,min,0.105,0,NA
ASL-00002,min,0.105,0,NA
ASL-00004,min,0.08,0,NA
ASL-00005,charge,0.1,0,NA
ASL-00005,min,0.03,0,NA
ASL-00006,charge,0.1,0,NA
ASL-00006,min,0.03,0,NA
ASL-90003,kWh,0.1,0,NA
AVR-00003,min,0,0,NA
AVR-00007,min,0.08,0,NA
AVR-00008,min,0,0,NA
AVR-00009,min,0,0,NA
AVR-00010,min,0.03,0,NA
AVR-00015,min,0,0,NA
AVR-00016,min,0,0,NA
AVR-00017,min,0,0,NA
AVR-00018,charge,0.15,0,NA
AVR-00018,kWh,0.11,0,NA
AVR-00019,min,0.1,0,NA
AVR-00021,kWh,0.06,0,NA
AVR-00022,kWh,0.1,0,NA
AVR-90001,min,0.009,0,NA
AVR-90002,kWh,0.1,0,NA
AVR-90004,min,0.01,0,NA
AVR-90005,min,0.0037,0,NA
AVR-90006,min,0.009,0,NA
AVT-90001,min,0.02,0,NA
AVZ-00002,min,0.102,0,30
AVZ-00002,min,0.163,30,NA
AVZ-00003,min,0.01,0,NA
AZB-00001,min,0.105,0,NA
AZB-00002,min,0.105,0,NA
AZB-90003,min,0.031,0,NA
BAO-00001,min,0,0,NA
BBR-90001,kWh,0.1,0,NA
BCL-00003,min,0.02,0,NA
