,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
0,PT,MOB,ABF-00001,True,Rua Manuel Teixeira Gomes,Albufeira,PRT,8200-269,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:15:08Z,37.096825,-8.224503,PT*MOB*ABF*00001*02,ABF-00001-02,CHARGING,2021-05-11T14:10:26Z,ABF-00001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
1,PT,EVP,ABF-00002,True,"Sitio Pedra Escorregar, 9720, AZ 8200-421 Guia Albufeira S/N",Albufeira,PRT,8200-421,PARKING_LOT,Europe/Lisbon,BTN,2021-04-29T19:41:04Z,37.123742,-8.300047,PT*EVP*ABF*00002*2,ABF-00002-2,UNKNOWN,2021-04-29T19:33:18Z,ABF-00002-2-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
2,PT,MOB,ABF-00003,True,Estrada das Açoteias,Albufeira,PRT,8200-912,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:15:10Z,37.0945,-8.1776,PT*MOB*ABF*00003*02,ABF-00003-02,AVAILABLE,2021-05-09T10:01:02Z,ABF-00003-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,11000
3,PT,MOB,ABF-00004,True,Estrada das Açoteias,Albufeira,PRT,8200-912,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:14:48Z,37.096,-8.1772,PT*MOB*ABF*00004*02,ABF-00004-02,AVAILABLE,2021-05-11T06:23:42Z,ABF-00004-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,16,11000
4,PT,KLC,ABF-00005,True,Rua do Município,Albufeira,PRT,8200-077,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:35Z,37.090829,-8.2459,PT*KLC*ABF*00005*02,ABF-00005-02,CHARGING,2021-05-11T12:24:56Z,ABF-00005-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
5,PT,KLC,ABF-00006,True,Rua Manuel Bentes Junior,Albufeira,PRT,8200-176,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:13:38Z,37.087239,-8.24759,PT*KLC*ABF*00006*02,ABF-00006-02,CHARGING,2021-05-11T13:02:37Z,ABF-00006-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
6,PT,EDP,ABF-00008,True,Rua Do Município Lote 26,Albufeira,PRT,8200-916,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:14:58Z,37.090700,-8.243906,PT*EDP*ABF*00008*1,ABF-00008-1,AVAILABLE,2021-05-10T09:19:03Z,ABF-00008-1-1,IEC_62196_T2,SOCKET,AC_1_PHASE,230,32,7400
7,PT,EDP,ABF-00009,True,Rua Do Município Lote 26,Albufeira,PRT,8200-916,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:13:39Z,37.090400,-8.243906,PT*EDP*ABF*00009*1,ABF-00009-1,AVAILABLE,2021-05-10T09:19:04Z,ABF-00009-1-1,IEC_62196_T2,SOCKET,AC_1_PHASE,230,32,7400
8,PT,CME,ABF-00010,True,Zona Industrial de Vale Paraíso,Albufeira,PRT,8200-567,ON_STREET,Europe/Lisbon,BTN,2021-04-19T18:01:24Z,37.117687,-8.245134,PT*CME*ABF*00010*03,ABF-00010-03,UNKNOWN,2021-04-19T15:50:24Z,ABF-00010-03-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
9,PT,BLU,ABF-00011,True,Praia Maria Luísa,Albufeira,PRT,8200-609,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:13:33Z,37.091771,-8.205087,PT*BLU*ABF*00011*02,ABF-00011-02,AVAILABLE,2021-05-09T13:45:26Z,ABF-00011-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
10,PT,GLP,ABF-00012,True,Makro Albufeira,Albufeira,PRT,8200-856,PARKING_LOT,Europe/Lisbon,BTN,2021-05-01T16:05:06Z,37.129463,-8.282082,PT*GLP*ABF*00012*02,ABF-00012-02,UNKNOWN,2021-05-01T15:41:22Z,ABF-00012-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
11,PT,GLP,ABF-00013,True,Makro Albufeira,Albufeira,PRT,8200-856,PARKING_LOT,Europe/Lisbon,BTN,2021-05-01T16:05:06Z,37.129150,-8.282082,PT*GLP*ABF*00013*02,ABF-00013-02,UNKNOWN,2021-05-01T15:10:45Z,ABF-00013-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
12,PT,EDP,ABF-00014,True,Hotel Vila Galé Atlântico,Albufeira,PRT,8200-995,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:15:19Z,37.084582,-8.314045,PT*EDP*ABF*00014*1,ABF-00014-1,AVAILABLE,2021-04-29T13:37:31Z,ABF-00014-1-1,IEC_62196_T2,SOCKET,AC_1_PHASE,230,32,7400
13,PT,EDP,ABF-00015,True,Hotel Vila Galé Atlantico,Albufeira,PRT,8200-995,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:15:32Z,37.084250,-8.314045,PT*EDP*ABF*00015*1,ABF-00015-1,UNKNOWN,2021-04-29T13:37:12Z,ABF-00015-1-1,IEC_62196_T2,SOCKET,AC_1_PHASE,230,32,7400
14,PT,KLC,ABF-00016,True,Estrada dos Caliços,Albufeira,PRT,8200-131,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:44Z,37.095664,-8.249486,PT*KLC*ABF*00016*03,ABF-00016-03,AVAILABLE,2021-05-11T13:32:22Z,ABF-00016-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
15,PT,PRP,ABT-00002,True,A23 - Sublanço Abrantes / Mouriscas (Sentido Este/Oeste),Abrantes,PRT,2204-906,ALONG_MOTORWAY,Europe/Lisbon,MT,2021-05-11T14:14:32Z,39.486109,-8.159092,PT*PRP*ABT*00002*03,ABT-00002-03,AVAILABLE,2021-05-10T12:20:24Z,ABT-00002-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
16,PT,PRP,ABT-00003,True,A23 - Sublanço Abrantes / Mouriscas (Sentido Oeste/Este),Abrantes,PRT,2204-906,ALONG_MOTORWAY,Europe/Lisbon,MT,2021-05-11T14:15:18Z,39.484883,-8.15503,PT*PRP*ABT*00003*03,ABT-00003-03,AVAILABLE,2021-05-11T14:13:18Z,ABT-00003-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
17,PT,KLC,ABT-90001,True,Largo 1º de Maio,Abrantes,PRT,-,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:14:08Z,39.4587,-8.1998,PT*KLC*ABT*90001*02,ABT-90001-02,AVAILABLE,2021-05-11T13:29:43Z,ABT-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
18,PT,EDP,ACB-00002,True,"Estrada Nacional 86, Casal do Leirão",Alcobaça,PRT,2475-022,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:13:47Z,39.433215,-8.982104,PT*EDP*ACB*00002*02,ACB-00002-02,AVAILABLE,2021-05-11T14:11:49Z,ACB-00002-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
19,PT,EDP,ACB-00003,True,Quinta da Barrada,Alcobaça,PRT,2460-000,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:15:28Z,39.54601,-8.96945,PT*EDP*ACB*00003*03,ACB-00003-03,AVAILABLE,2021-05-10T16:49:48Z,ACB-00003-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
20,PT,HRZ,ACB-90001,True,Rua Judite Neves Vasco,Alcobaça,PRT,2460-055,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:33Z,39.552,-8.975611,PT*HRZ*ACB*90001*2,ACB-90001-2,AVAILABLE,2021-05-11T11:20:44Z,ACB-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
21,PT,GLG,ACH-00002,True,"A12 km 13,8 (Sentido Norte/Sul)",Alcochete,PRT,2890,ALONG_MOTORWAY,Europe/Lisbon,BTE,2021-05-11T14:15:24Z,38.72584,-8.98778,PT*GLG*ACH*00002*03,ACH-00002-03,AVAILABLE,2021-05-11T13:57:37Z,ACH-00002-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
22,PT,GLG,ACH-00003,True,"A12 km 13,8 (Sentido Sul/Norte)",Alcochete,PRT,2890,ALONG_MOTORWAY,Europe/Lisbon,BTE,2021-05-11T14:13:47Z,38.727711,-8.987191,PT*GLG*ACH*00003*03,ACH-00003-03,CHARGING,2021-05-11T09:01:16Z,ACH-00003-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
23,PT,KLC,ACH-00004,True,Avenida Euro 2004,Alcochete,PRT,2890-154,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:14:30Z,38.751757,-8.939855,PT*KLC*ACH*00004*2,ACH-00004-2,AVAILABLE,2021-05-11T03:53:20Z,ACH-00004-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
24,PT,KLC,ACH-00005,True,Avenida Euro 2004,Alcochete,PRT,2890-154,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:14:41Z,38.752065,-8.939838,PT*KLC*ACH*00005*2,ACH-00005-2,AVAILABLE,2021-05-11T13:34:26Z,ACH-00005-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
25,PT,KLC,ACH-00007,True,Lagoa do Láparo,Alcochete,PRT,2890-112,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:13:55Z,38.7512824,-8.9578271,PT*KLC*ACH*00007*03,ACH-00007-03,AVAILABLE,2021-05-11T09:21:51Z,ACH-00007-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
26,PT,HRZ,ACH-90006,True,Av. 5 de Outubro 16,Alcochete,PRT,2890-040,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:35Z,38.755972,-8.96,PT*HRZ*ACH*90006*2,ACH-90006-2,AVAILABLE,2021-05-11T02:36:54Z,ACH-90006-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
27,PT,MLT,ACN-00002,True,Intermarche Alcanena,Alcanena,PRT,2380-180,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:15:31Z,39.463109,-8.65772,PT*MLT*ACN*00002*2,ACN-00002-2,AVAILABLE,2021-05-10T15:38:20Z,ACN-00002-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
28,PT,MLT,ACN-00003,True,Av. São Sebastião,Alcanena,PRT,2395-104,PARKING_LOT,Europe/Lisbon,MT,2021-02-15T17:11:41Z,39.518897,-8.688764,PT*MLT*ACN*00003*02,ACN-00003-02,UNKNOWN,2021-02-10T13:08:43Z,ACN-00003-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
29,PT,HRZ,ACN-90001,True,Rua João da Silva Nazário,Alcanena,PRT,2380-909,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:15:01Z,39.45698,-8.668342,PT*HRZ*ACN*90001*2,ACN-90001-2,CHARGING,2021-05-11T12:49:39Z,ACN-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
30,PT,MOB,ACT-00001,True,M507 – Rotunda 5 de Outubro,Alcoutim,PRT,8970-067,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:13:39Z,37.469003,-7.473464,PT*MOB*ACT*00001*02,ACT-00001-02,AVAILABLE,2021-05-11T13:00:44Z,ACT-00001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
