,type,id,lat,lon,access,addr:city,addr:country,addr:postcode,addr:street,amenity,authentication:membership_card,authentication:none,capacity,email,fee,motorcar,name,network,opening_hours,operator,parking:fee,phone,ref,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,website,addr:housenumber,note,socket:schuko,socket:schuko:voltage,wheelchair,level,socket:cee_blue,socket:cee_blue:current,socket:cee_blue:output,socket:cee_blue:voltage,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,location,power,bicycle,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,socket:tesla_destination,socket:tesla_destination:output,old_name,addr:place,socket:schuko:output,description,note:en,authentication:app,alt_ref,socket:cee_red_16a,socket:cee_red_16a:output,website:stock,start_date,layer,image,construction:socket:chademo,construction:socket:type2_combo,official_name,ame
0,node,966120777,38.7407131,-9.1864577,yes,Lisboa,PT,1500,Estrada Barcal – Monsanto,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00050,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90050,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node,966120787,38.769902,-9.096762,yes,Lisboa,PT,1990,Rua do Pólo Norte,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,LSB-00033,Mobi.E,24/7,Powerdot,no,+351 800 180 292,LSB-90033,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node,966120797,38.74894,-9.13805,yes,Lisboa,PT,1700,Avenida dos Estados Unidos da América,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LSB-00064,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90064,2,32,22kW,400,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node,966120799,38.757615,-9.0947634,yes,Lisboa,PT,1990-024,Rua dos Aventureiros,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00045,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90045,2,32,22kW,400,https://www.mobie.pt/,4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node,966120802,38.7605598,-9.0953221,yes,Lisboa,PT,1990,Rua Pedro e Inês,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,LSB-00035,Mobi.E,24/7,Powerdot,no,+351 800 180 292,LSB-90035,2,32,22kW,400,https://www.mobie.pt/,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node,966120809,38.7630242,-9.0969172,yes,Lisboa,PT,1990-156,Avenida do Mediterrâneo,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LSB-00039,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90039,2,32,22kW,400,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node,966120813,38.6937993,-9.3720115,yes,São Pedro do Estoril,PT,2765,Ponta do Sal,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,CSC-00007,Mobi.E,24/7,Powerdot,no,+351 800 180 292,CSC-90007,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,node,966120816,38.77293,-9.0925,yes,Lisboa,PT,1990-231,Rua Do Bojador,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,LSB-00036,Mobi.E,24/7,Powerdot,no,+351 800 180 292,LSB-90036,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node,966120831,38.6906776,-9.3570496,yes,Parede,PT,2775,Avenida da República,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,CSC-00008,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,CSC-90008,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,node,966120833,38.7692823,-9.0940586,yes,Lisboa,PT,1990-231,Rua do Bojador,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LSB-00034 - Altice Arena,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90034,2,32,22kW,400,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
